Sample,SBET(m2/g),SL(m2/g),VT(cm3/g),P(kPa),T(K),Mental center,Uptake
"PCN-66(Yuan et al., 2010)",4000,4600,1.63,3500,298,Cu,26.3
,4000,4600,1.63,2000,298,Cu,21.5
"UMCM-1(Mu et al., 2010)",4100,6500,2.14,2400,298,Zn,24
"PCN-61(Yuan et al., 2010)",3000,3500,1.36,3500,298,Cu,23.5
,3000,3500,1.36,2000,298,Cu,21.4
"NJU-Bai3(Duan et al., 2012)",2690,3100,1.08,2000,273,Cu,22.1
,2690,3100,1.08,2000,298,Cu,18.1
"NOTT-125(Alsmail et al., 2014)",2471,3195.8,1.1,2000,273,Cu,21.2
"NOTT-140(Tan et al., 2011)",2620,3220.7,1.07,2000,283,Cu,20.7
"HKUST-1(Moellmer et al., 2011)",1270,2601.4,0.71,3000,313,Cu,16.5
,1571,2002.9,0.6383,1500,298,Cu,12.7
"Cu-BTTri(Herm et al., 2011)",1750,2601.4,0.713,4000,313,Cu,16.9
"Co-BDP(Herm et al., 2011)",2030,2601.4,0.93,4000,313,Co,16.5
"CPO-27-Ni(Dietzel et al., 2009)",1218,1973.1,0.47,2200,278,Ni,12.3
"HNUST-1(Zheng et al., 2013)",1400,2185.48,0.57,2000,273,Cu,12.11
"Cu-TCMBT(Lu et al., 2012)",808.5,1567.5,0.5337,2000,298,Cu,5.8
"SNU-71(Prasad and Suh, 2012)",1770,1923,0.709,100,195,Zn,13.2
"SNU-70(Prasad and Suh, 2012)",5290,6100,2.17,100,298,Zn,0.8
"FJI-H14(Liang et al., 2017)",904,1004,0.45,100,195,Cu,12.5
,904,1004,0.45,100,298,Cu,7.6
"Ni(BPEB)(Galli et al., 2014)",1900,2378,1,100,195,Ni,11.6
"?-[Zn(BPEB)](Galli et al., 2014)",985,1224,0.6,100,195,Zn,11.3
"Cu-TDPAT(Li et al., 2012)",1938,2206.508,0.93,100,273,Cu,10.2
,1938,2206.508,0.93,100,298,Cu,5.9
"UTSA-16(Chen, 2013)",628,939,0.31,100,298,Co,7.1
"NTU-105(Wang et al., 2013)",3543,4772.5,1.33,100,273,Cu,8.5
"Co-MOF-74(Caskey et al., 2008)",1080,1199.5,0.4561,100,296,Co,6.9
"MOF-505(Hu et al., 2009)",1852,2844,1.3636,100,273,Cu,7.9
"CPM-33b(Zhao et al., 2015)",808,856.3,0.399,100,273,Ni,7.8
,808,856.3,0.399,100,298,Ni,5.6
"CPM-33c(Zhao et al., 2015)",805,856.3,0.409,100,273,Ni,5.99
,805,856.3,0.409,100,298,Ni,2.01
"CPM-33a(Zhao et al., 2015)",966,1147.8,0.463,100,273,Ni,6.1
,966,1147.8,0.463,100,298,Ni,3.3
"ZJNU-40(Song et al., 2014)",2209,2328,0.88,100,273,Cu,7.6
"IFMC-1(Qin et al., 2012)",780,932,0.37,100,296,Zn,7.5
"CAU-1(Si et al., 2011)",1268,1653.97,1.32,100,273, Al,7.2
"PCN-88(Li et al., 2013)",3308,3845,1.0774,100,273,Cu,7.1
,3308,3845,1.0774,100,296,Cu,4.2
