Sample,SBET(m2/g),SL(m2/g),VT(cm3/g),P(kPa),T(K),Mental center,Uptake
"Al(OH)(bdc-NO2)(Reinsch et al., 2013)",440,529.54,0.2297,100,295,Al,1.982157
"Al(OH)(bdc-NH2)(Reinsch et al., 2013)",1047.28,1189,0.4561,100,295,Al,1.821442
"Al(OH)(bdc-OH)(Reinsch et al., 2013)",1047.28,1189,0.4561,100,295,Al,1.267866
"Zr6O4(OH)4(bdc)6(Biswas and Van der Voort, 2013)",943.9,1086,0.4032,100,273,Zr,2.875021
"Zr6O4(OH)4(bdc-CF3)6(Biswas and Van der Voort, 2013)",644.3,739,0.324,100,273,Zr,1.531261
"Zr6O4(OH)4(bdc-(COOH)2)6(Biswas and Van der Voort, 2013)",765.7,217,0.301,100,273,Zr,1.700905
"Zr6O4(OH)4(bdc-F2)6(Biswas and Van der Voort, 2013)",819.7,836,0.3838,100,273,Zr,2.312517
"Zr6O4(OH)4(bdc-Cl2)6(Biswas and Van der Voort, 2013)",765.7,609,0.34,100,273,Zr,1.683048
"Zr6O4(OH)4(bdc-Br2)6(Biswas and Van der Voort, 2013)",644.3,339,0.2677,100,273,Zr,1.401796
"Cu2(tpta)(Liu, Y.Y. et al., 2013)",1927,2929,1.3611,100,297,Cu,3.303595
"Cu2(tpta-CH3)(Liu, Y.Y. et al., 2013)",1376,2235,0.7384,100,297,Cu,3.27681
"Cu2(tpta-CF3)(Liu, Y.Y. et al., 2013)",1418,2234,0.7384,100,297,Cu,3.50449
"Zn4O(L3)2(Wang, Y.L. et al., 2014)",2151,2258,0.8,100,273,Zn,3.66967
"Zn4O(L3-CH3)2(Wang, Y.L. et al., 2014)",1908,2098,0.75,100,273,Zn,3.758956
"Zn4O(L3-Cl)2(Wang, Y.L. et al., 2014)",1974,1974,0.71,100,273,Zn,4.013422
"Zn4O(bpdc)3(Babarao et al., 2014)",1150.2,1918,1.18,100,298,Zn,1.79912
"Zn4O(bpdc-OH)3(Babarao et al., 2014)",3457.4,1619,0.99,100,298,Zn,1.071436
"Zn4O(bpdc-OCH3)3(Babarao et al., 2014)",2246.4,1573,0.84,100,298,Zn,1.250009
"Zn4O(bpdc-I)3(Babarao et al., 2014)",2239.9,1730,0.76,100,298,Zn,0.705362
"Ti8O8(OH)4(bdc)6(Im et al., 2014)",1550,1700,0.74,100,298,Ti,3.14288
"Ti8O8(OH)4(bdc-(Me)4)6(Im et al., 2014)",830,940,0.4,100,298,Ti,2.68752
"Zn4O(btb)4/3(3,7-ndc)(Im et al., 2014)",4460,6270,0.317,100,298,Zn,0.736613
"Zn4O(btb)4/3(2,7-ndc-NH2)(Im et al., 2014)",4330,6120,0.321,100,298,Zn,0.830363
"Zn4O(btb)4/3(3,7-ndc-NO2)(Im et al., 2014)",3980,5670,0.314,100,298,Zn,0.808042
"Zn4O(btb)4/3(3,7-ndc-OBn)(Im et al., 2014)",3470,4810,0.357,100,298,Zn,0.928578
"Cd(bdc)(4-bpmh)(Parshamoni et al., 2015)",36,172.4,0.0782,100,273,Cd,1.245545
"Cd(bdc-NH2)(4-bpmh)(Parshamoni et al., 2015)",30,172.4,0.0782,100,273,Cd,1.93305
"Al(OH)(bpdc)(Raja et al., 2015)",1148.7,1471.7,0.6056,100,298,Al,2.513411
"Al(OH)(SB-bpdc)(Raja et al., 2015)",1413.7,1955.8,0.6364,100,298,Al,1.450903
"[Al3F(H2O)2O(bdc-Me)3](Buragohain et al., 2015)",2398,2541.5,1.044,100,273,Al,3.093773
"[Al3F(H2O)2O(bdc-NO2)3](Buragohain et al., 2015)",1725,1848.8,0.70992,100,273,Al,2.504483
"[Al3F(H2O)2O(bdc-OCH3)3](Buragohain et al., 2015)",1928,2206.508,0.867,100,273,Al,2.709841
"[Al3F(H2O)2O(bdc-C6H4)3](Buragohain et al., 2015)",1350,1811.38,0.6172,100,273,Al,1.616083
"[Al3F(H2O)2O(bdc-F2)3](Buragohain et al., 2015)",1328,1755.88,0.6936,100,273,Al,1.79912
"[Al3F(H2O)2O(bdc-(CH3)2)3](Buragohain et al., 2015)",1728,1848.8,0.70992,100,273,Al,1.910728
"[Al3F(H2O)2O(bdc-(OCH3)2)3](Buragohain et al., 2015)",1906,2208.908,0.879,100,273,Al,2.209838
"[Al3F(H2O)2O(bdc-NH2)3](Buragohain et al., 2015)",2230,2390.9,0.952,100,273,Al,2.9152
"Zr6O4(OH)4(bdc-NO2)6(Rada et al., 2015)",771,870.82,0.69,100,273,Zr,3.120558
"Zr6O4(OH)4(bdc-NO2-NH2)6(Rada et al., 2015)",868,977.6,0.039,100,273,Zr,3.892885
"Zr6O4(OH)4(bdc-NO2-(OH)2)6(Rada et al., 2015)",732,849.45,0.037,100,273,Zr,3.531276
"Zr6O4(OH)4(bdc-NO2-(COOH)2)6(Rada et al., 2015)",462,579.22,0.047,100,273,Zr,2.482161
"Zn2(bdc)(trz)2(Hu, X.L. et al., 2015)",371,439.84,0.209,100,298,Zn,1.57144
"Zn2(bdc-NH2)(trz)2(Hu, X.L. et al., 2015)",453,552.72,0.2297,100,298,Zn,1.616083
"Zn3(bpdc)3(bpy)(Liu, H. et al., 2013)",457,804,0.21,100,298,Zn,2.321445
"Zn3(bpdc)3(2,2‘-bpy)(Liu, H. et al., 2013)",308,466,0.18,100,298,Zn,2.61609
"Zn3(bpdc)3(3,3‘-bpy)(Liu, H. et al., 2013)",195,378,0.13,100,298,Zn,1.959836
"ZrO(bdc)(Liang et al., 2015)",396.4,436.5,0.16,100,293,Zr,0.888399
"ZrO(bdc-NH2)(Liang et al., 2015)",269.3,322.8,0.14,100,293,Zr,0.933043
"ZrO(bdc-F)(Liang et al., 2015)",350.3,384.9,0.16,100,293,Zr,0.45536
"ZrO(bpdc)(Liang et al., 2015)",660.8,726.3,0.27,100,293,Zr,1.276795
"ZrO(bpdc-Me)(Liang et al., 2015)",574.4,657.8,0.26,100,293,Zr,1.205366
"Al(OH)(2,6-ndc)(Halis et al., 2015)",1308,1755.88,0.6936,100,298,Al,1.000007
"Al(OH)(2,6-ndc-(NO2)2)(Halis et al., 2015)",578,679.27,0.326,100,298,Al,2.276802
"Al(OH)(bpdc-NO2)(Halis et al., 2015)",1677,1836.6,0.68002,100,298,Al,1.754477
"Al(OH)(bpdc-NH2)(Halis et al., 2015)",1966,2268.408,0.875,100,298,Al,0.339288
"Al(OH)(bpdc-SO2)(Halis et al., 2015)",1530,1783,0.6368,100,298,Al,2.642876
"Zn2(trz)2(bdc)(Zhai et al., 2015)",1135.909,1482.17,0.6056,100,298,Zn,2.459839
"Zn2(trz)2(bdc-NH2)(Zhai et al., 2015)",1369.809,1800.28,0.6342,100,298,Zn,2.022336
"Zn2(trz)2(bdc-NO2)(Zhai et al., 2015)",3457.4,4474.4,1.3952,100,298,Zn,0.9509
"Zn2(trz)2(bdc-Br)(Zhai et al., 2015)",2292.6,2381.9,0.952,100,298,Zn,1.281259
"[Al3F(H2O)2O(bdc)3](Khutia and Janiak, 2014)",3237,3960.8,1.61,100,293,Al,2.38841
"[Al3F(H2O)2O(bdc-NO2)3](Khutia and Janiak, 2014)",1245,1585.17,0.7,100,293,Al,1.776799
"[Al3F(H2O)2O(bdc-NH2)3](Khutia and Janiak, 2014)",2687,2541.5,1.6,100,293,Al,3.620562
"MOF-505(Chen et al., 2018)",1104,1216,0.455,100,298,Cu,2.87
"MOF-505@5GO(Chen et al., 2018)",1276,1402,0.516,100,298,Cu,3.94
"PCN-250(Fe2Co)(Chen et al., 2018)",1653,1836.6,0.573,100,298,Fe,3.87
"PCN-250(Fe3)(Chen et al., 2018)",1470,1813.18,0.506,100,298,Fe,3.02
"CPL-2(Garcia-Ricard and Hernandez-Maldonado, 2010)",633,19,0.121,100,298,Cu,1.6
"ELM-11(Kanoh et al., 2009)",1241.5,1585.17,0.625,101,298,Cu,6.7
"MOF-5(Gadipelli and Guo, 2014)",3200,3960.8,1.33,102,298,Zn,2
,3200,3960.8,1.33,100,298,Zn,0.82
"ZIF-7(Wu et al., 2014)",312,355,0.187,103,298,Zn,2.2
"ZIF-8(McEwen et al., 2013)",1475,1863.48,0.7,104,298,Zn,0.82
"UiO-66(Cao et al., 2015)",838,895.8,0.245,105,298,Zr,2.27
"UiO-66/GO-1(Cao et al., 2015)",923,1098.2,0.31,105,298,Zr,2.5
"UiO-66/GO-5(Cao et al., 2015)",1184,1522.57,0.384,105,298,Zr,3.2
"UiO-66/GO-10(Cao et al., 2015)  ",1012,1183.7,0.414,105,298,Zr,3.5
"Cu-BTC(Zhao et al., 2014)",892,1053.4,0.428,100,273,Cu,4.22
,892,1053.4,0.428,100,295,Cu,2.46
"MOF/GO(Zhao et al., 2014)",1010,1183.7,0.491,100,273,Cu,5.52
,1010,1183.7,0.491,100,295,Cu,3.09
"MOF/GO-U1(Zhao et al., 2014)",864,984.5,0.421,100,273,Cu,4.02
,864,984.5,0.421,100,295,Cu,2.3
"MOF/GO-U2(Zhao et al., 2014)",936,1177.8,0.466,100,273,Cu,5.38
,936,1177.8,0.466,100,295,Cu,2.97
"MOF/GO-U3(Zhao et al., 2014)",1367,1817.98,0.663,100,273,Cu,8.45
,1367,1817.98,0.663,100,295,Cu,4.78
"CoIPA(Shan et al., 2017)",1838.162,2111.198,0.837,100,298,Co,0.82
"NJU-Bai23(Lu et al., 2016)",1539.7,1781.7,0.6368,100,298,Cu,2.19
"Cu-BTC(Lin et al., 2018)",1713,1857.9,0.7272,100,298,Cu,4.8
"ACN1/3@Cu-BTC(Lin et al., 2018)",1504,1807.78,0.632,100,298,Cu,4.32
"UiO-66(Hu, Z.G. et al., 2015)",1730,1848.8,0.8,15,298,Zr,0.56
,1730,1848.8,0.8,100,298,Zr,2.2
,1730,1848.8,0.8,100,273,Zr,3.38
"UiO-66- (COOLi)2-EX(Hu, Z.G. et al., 2015)",870,1148,0.44,15,298,Zr,0.47
,870,1005,0.44,100,298,Zr,1.65
,870,1024.6,0.44,100,273,Zr,2.41
"UiO-66-(COONa)2-EX(Hu, Z.G. et al., 2015)",869,1148,0.38,15,298,Zr,0.68
,869,1005,0.38,100,298,Zr,1.98
,869,977.6,0.38,100,273,Zr,2.93
"UiO-66-(COOK)2-EX(Hu, Z.G. et al., 2015)",554,623.71,0.25,15,298,Zr,0.41
,554,679.27,0.25,100,298,Zr,1.33
,554,679.27,0.25,100,273,Zr,1.96
"UiO-66-(COOH)4-EX(Hu, Z.G. et al., 2015)",677,633.93,0.33,15,298,Zr,0.4
,677,633.93,0.33,100,298,Zr,1.5
,677,633.93,0.33,100,273,Zr,2.3
"UiO-66-(COOLi)4-EX(Hu, Z.G. et al., 2015)",970,1244.4,0.45,15,298,Zr,0.7
,970,1157.1,0.45,100,298,Zr,2.34
,970,1147.8,0.45,100,273,Zr,3.44
"UiO-66-(COONa)4-EX(Hu, Z.G. et al., 2015)",639,688.33,0.3,15,298,Zr,0.32
,639,688.33,0.3,100,298,Zr,1.2
,639,703.53,0.3,100,273,Zr,1.93
"UiO-66-(COOK)4-EX(Hu, Z.G. et al., 2015)",204,261.78,0.13,15,298,Zr,0.21
,204,230.18,0.13,100,298,Zr,0.61
,204,230.18,0.13,100,273,Zr,0.86
"UIO-67(Wang, B. et al., 2014)",2505,3040,1.1,101,298,Zr,0.9366
"BUT-10(Wang, B. et al., 2014)",1848,2185,0.82,101,298,Zr,2.07
"BUT-11(Wang, B. et al., 2014)",1310,1571,0.62,101,298,Zr,2.188
"1# DOBDC@MIL-100(Fe)(Mei et al., 2017)",2437,3126,1.055,100,298,Fe,3.63
"2# DOBDC@MIL-100(Fe)(Mei et al., 2017)",2228,2991,0.881,100,298,Fe,2.62
"3# DOBDC@MIL-100(Fe)(Mei et al., 2017)",1422,1936,0.59,100,298,Fe,1.89
"MIL-100(Fe)(Mei et al., 2017)",2558,3289,1.111,100,298,Fe,2.24
"Ni-MOF-74(Liu et al., 2010)",1418,1800.28,0.6454,100,298,Ni,6.08
"IRMOF-1(Yazaydin et al., 2009)",1892,2784,2.345,10,298,Zn,0.08
,1892,2784,2.345,50,298,Zn,0.416
,1892,2784,2.345,100,298,Zn,0.83
"Ni\ DOBDC(Yazaydin et al., 2009)",936,1356,0.495,10,298,Ni,4.07
,936,1356,0.495,50,298,Ni,6.31
,936,1356,0.495,100,298,Ni,7.15
"Co\DOBDC(Yazaydin et al., 2009)",957,1388,0.498,10,298,Co,2.81
,957,1388,0.498,50,298,Co,6.01
,957,1388,0.498,100,298,Co,7.55
"ZIF-8(Yazaydin et al., 2009)",1135,1768,0.63,10,298,Zn,0.12
,1135,1768,0.63,50,298,Zn,0.514
,1135,1768,0.63,100,298,Zn,1.016
"UMCM-1(Yazaydin et al., 2009)",4034,5182,2.3,10,298,Zn,0.093
,4034,5182,2.3,50,298,Zn,0.455
,4034,5182,2.3,100,298,Zn,0.907
"MOF-177(Yazaydin et al., 2009)",4508,4998,1.3319,100,298,Zn,1.05
"ZIF-8(McEwen et al., 2013)",1475,1863.48,0.7,100,298,Zn,0.83
"MOF-5(Zhao et al., 2009)",2304,2440.5,0.964,100,298,Zn,2.1
"UTSA-40(He et al., 2013)",1630,1662,0.65,100,298,Cu,3.26
"CoBD-rt(Zhou et al., 2017)",1859.25,1944.99,0.68,100,273,Co,3.6025
,1859.25,1944.99,0.68,100,298,Co,2.160714
"NiBD-rt(Zhou et al., 2017)",2127.37,2240.09,0.79,100,273,Ni,3.614286
,2127.37,2240.09,0.79,100,298,Ni,2.101786
"ZnBD-rt(Zhou et al., 2017)  ",1911.09,1983.54,0.71,100,273,Zn,3.869643
,1911.09,1983.54,0.71,100,298,Zn,2.160714
"ZnBD-F(Zhou et al., 2017)",1800,1822,0.67,100,273,Zn,4.517857
,1800,1822,0.67,100,298,Zn,1.866071
"Zn BD-Cl(Zhou et al., 2017)",1644,1690,0.63,100,273,Zn,4.733929
,1644,1690,0.63,100,298,Zn,1.866071
"Zn BD-Br(Zhou et al., 2017)",1432,1468,0.5,100,273,Zn,4.635714
,1432,1468,0.5,100,298,Zn,2.058571
"ZnBD-I(Zhou et al., 2017)",1004,1030,0.39,100,273,Zn,3.771429
,1004,1030,0.39,100,298,Zn,1.964286
"ZIF-8(Zhou et al., 2017)",1821,1913,0.66,101,273,Zn,1.477143
"Zn/Co-ZIF(Zhou et al., 2017)",1864,1998,0.62,101,273,Zn,1.524286
"ZIF-67(Zhou et al., 2017)",1888,1996,0.71,101,273,Zn,1.685357
"Ni-btc-Azpy(Zhou et al., 2017)  ",2218,2371.7,0.94,100,273,Ni,6.914286
,2218,2371.7,0.94,100,298,Ni,3.732143
"Cu-5,5?-(triazole-2,5-diyl)-diisophthalate(Liu et al., 2017)",1599,2291,0.768,101,273,Cu,1.49
"rht-MOF-pyr(Gao et al., 2015)",2100,2354.018,0.874,101,273,Cu,5.01
,2100,2354.018,0.865,101,298,Cu,2.97
"rht-MOF-1(Gao et al., 2015)",2100,2354.018,0.874,101,273,Cu,4.03
,2100,2354.018,0.865,101,298,Cu,2.44
"Zn2(H2dht)(dht)0.5(Azpy)0.5(Kanoo et al., 2012)",613,703.53,0.324,100,195,Zn,2.41
"Zn2(OH)(Azpy)(bdc)(Zelenak et al., 2010)",32,172.4,0.012,100,273,Zn,1.04
"Cu(BDC-OH)(bipy)(Chen et al., 2011)",553,761,0.302,100,196,Cu,6.7
,553,761,0.302,101,296,Cu,1.375
